openlibrary_id,title,authors,first_publish_year,subjects,edition_count,work_key,cover_id,type,genre,summary
OL100071W,Hawksong: The Kiesha'ra,Amelia Atwater-Rhodes,2003.0,"Children's fiction, War, fiction, Peace, fiction, Fantasy fiction, Fantasy, Fiction, Juvenile Fiction, Trust, Supernatural, War stories, Inheritance and succession, Juvenile fiction, Large type books, Folklore",10,/works/OL100071W,244303.0,fiction,Fantasy,
OL100074W,Snakecharm,Amelia Atwater-Rhodes,2004.0,"Juvenile Fiction, Fiction, Fantasy, Fantasy., Snakes, Birds, Fantasy fiction, Falcons, fiction, Children's fiction, Snakes, fiction",6,/works/OL100074W,244645.0,fiction,Fantasy,
OL100075W,Wolfcry,Amelia Atwater-Rhodes,2006.0,"Magic, Snakes, Juvenile Fiction, Fiction, Fantasy, Kings, queens, rulers, Juvenile fiction, Wolves, Birds, Kings, queens, rulers, etc, Queens, Children's fiction, Birds, fiction, Snakes, fiction, Magic, fiction, Wolves, fiction, Kings, queens, rulers, etc., fiction, Fantasy fiction",5,/works/OL100075W,2421299.0,fiction,Fantasy,
OL100077W,Wyvernhail: The Kiesha'ra,Amelia Atwater-Rhodes,2007.0,"Fantasy, Fantasy fiction, Visions, Fiction, Magic, Children's fiction",4,/works/OL100077W,244296.0,fiction,Fantasy,
OL103167W,One More for the Road,Ray Bradbury,2002.0,"Short stories, Fiction, science fiction, short stories, Fiction, fantasy, collections & anthologies, Science fiction, Fantasy, Psychological fiction",9,/works/OL103167W,8303630.0,fiction,Fantasy,
OL103289W,Wit'ch War,James Clemens,2000.0,"Fantasy, Fiction, Magic, Witches, Good and evil, Fiction, fantasy, epic",3,/works/OL103289W,208951.0,fiction,Fantasy,
OL103290W,Hinterland,James Clemens,2006.0,"Fiction, Knights and knighthood, Fantasy, Fiction, fantasy, general",6,/works/OL103290W,1237167.0,fiction,Fantasy,
OL10471197W,Wilfred Cumbermede,George MacDonald,2015.0,"autobiographical, fantasy, libraries, psychology",5,/works/OL10471197W,10960776.0,fiction,Fantasy,
OL109412W,Spindle's End,Robin McKinley,2000.0,"Juvenile fiction, Fairy tales, Fiction, Fantasy, Princesses, Good and evil, Fairies, Children's fiction, Fantasy fiction",17,/works/OL109412W,9353732.0,fiction,Fantasy,
OL111623W,Dance of the Gods,Nora Roberts,2006.0,"Vampires, Fiction, Romance, Occult fiction, Time travel, Love stories, American, Magic, Demonology, Open Library Staff Picks, Warriors, Fantasy fiction, Wizards, Witches, Fantasy, Suspense, FICTION / Romance / Contemporary, FICTION / Romance / General, Shapeshifting, Fiction, romance, suspense, Vampires, fiction, Fiction, occult & supernatural, Fiction, fantasy, general, Fiction, romance, fantasy, Fiction, romance, general",28,/works/OL111623W,319516.0,fiction,Fantasy,
OL112527W,"Aerie (The Dragon Jousters, Book 4)",Mercedes Lackey,2006.0,"Fantasy, Fiction, Magicians, Magic, Dragons, Fiction, fantasy, general, Imaginary places, fiction",4,/works/OL112527W,503890.0,fiction,Fantasy,
OL112533W,Exile's Honor (Heralds of Valdemar - Prequel #1),Mercedes Lackey,2002.0,"Heralds of Valdemar, Fiction, Valdamar, Valdemar (Imaginary place), Fantasy, Valdemar (imaginary place), fiction, Fiction, fantasy, general",4,/works/OL112533W,503680.0,fiction,Fantasy,
OL112536W,Fortune's Fool,Mercedes Lackey,2007.0,"Kidnapping, Fantasy fiction, Fiction, Fantasy, Princesses, Tales of the Five Hundred Kingdoms, Fiction, romance, contemporary, Fiction, romance, fantasy",5,/works/OL112536W,5075309.0,fiction,Fantasy,
OL112537W,Foundation (Valdemar,Mercedes Lackey,2008.0,"Valdemar, Collegium Chronicles, Telepathic Horses, Valdemar (Imaginary place), Fiction, Fantasy, Large type books, Fiction, fantasy, general",4,/works/OL112537W,6422042.0,fiction,Fantasy,
OL112539W,Joust,Mercedes Lackey,2003.0,"American Fantasy fiction, Dragons, Fantasy, Fantasy fiction, American, Fiction, Ring jousting, Imaginary wars and battles, Fiction, general",4,/works/OL112539W,503707.0,fiction,Fantasy,
OL112548W,"Sanctuary (The Dragon Jousters, Book 3)",Mercedes Lackey,2005.0,"Kiron (Fictitious character), Dragons, Fantasy, Fiction, Alta (Imaginary place), Fiction, fantasy, general",3,/works/OL112548W,503791.0,fiction,Fantasy,
OL112555W,"The Wizard of London (Elemental Masters, Book 4)",Mercedes Lackey,2005.0,"Elemental Masters, Magicians, Paranormal fiction, Fiction, Fantasy, Boarding schools, Parapsychology, Wizards, Fiction, fantasy, general, London (england), fiction",4,/works/OL112555W,503747.0,fiction,Fantasy,
OL112557W,Brightly Burning (Valdemar (Chronological) #18),Mercedes Lackey,2000.0,"Valdemar, Teenage boys, Fiction, Fantasy, Fiction, fantasy, general, Valdemar (imaginary place), fiction, Valdemar (Imaginary place), Fiction, fantasy, epic",6,/works/OL112557W,683479.0,fiction,Fantasy,
OL112564W,Take a Thief,Mercedes Lackey,2001.0,"Teenage boys, Thieves, Fiction, Fantasy, Valdemar (Imaginary place), Valdemar (Imaginary place) -- Fiction, Pickpockets, Orphans, Fiction, fantasy, general",5,/works/OL112564W,503626.0,fiction,Fantasy,
